MINOSthresh TimeBinElec Tshaping
25.0 20.0 333.0
HeaderFile DelayTrig StopT VDrift
psp140304 1363.949580 7955.000000 0.045516
psp140305 1363.949580 7945.000000 0.045585
psp140306 1363.949580 7985.000000 0.045310
psp140308 1363.949580 7955.000000 0.045516
psp140310 1363.949580 7985.000000 0.045310
psp140311 1363.949580 7965.000000 0.045447
psp140312 1363.949580 7955.000000 0.045516
psp140313 1363.949580 7945.000000 0.045585
psp140314 1363.949580 7895.000000 0.045934
psp140315 1363.949580 7865.000000 0.046146
psp140316 1363.949580 7855.000000 0.046217
psp140317 1363.949580 7845.000000 0.046289
psp140318 1363.949580 7845.000000 0.046289
psp140319 1363.949580 7875.000000 0.046076
psp140320 1363.949580 7875.000000 0.046076
psp140321 1363.949580 8200.000000 0.043885
psp140322 1363.949580 7825.000000 0.046432
psp140323 1363.949580 7865.000000 0.046146
psp140324 1363.949580 7845.000000 0.046289
psp140325 1363.949580 7835.000000 0.046360
psp140326 1363.949580 7835.000000 0.046360
psp140327 1363.949580 7835.000000 0.046360
psp140328 1363.949580 7795.000000 0.046649
psp140329 1363.949580 7815.000000 0.046504
psp140330 1363.949580 7845.000000 0.046289
psp140331 1363.949580 7835.000000 0.046360
psp140332 1363.949580 7795.000000 0.046649
psp140333 1363.949580 7825.000000 0.046432
psp140334 1363.949580 7835.000000 0.046360
psp140335 1363.949580 7795.000000 0.046649
psp140336 1363.949580 7825.000000 0.046432
psp140337 1363.949580 7845.000000 0.046289
psp140338 1363.949580 7825.000000 0.046432
psp140339 1363.949580 7775.000000 0.046794
psp140340 1363.949580 7815.000000 0.046504
psp140341 1363.949580 7815.000000 0.046504
psp140342 1363.949580 7825.000000 0.046432
psp140343 1363.949580 7795.000000 0.046649
psp140344 1363.949580 7795.000000 0.046649
psp140345 1363.949580 7815.000000 0.046504
psp140346 1363.949580 7795.000000 0.046649
psp140347 1363.949580 7825.000000 0.046432
psp140348 1363.949580 7805.000000 0.046576
psp140349 1363.949580 7765.000000 0.046867
psp140350 1363.949580 7805.000000 0.046576
psp140351 1363.949580 7825.000000 0.046432
psp140352 1363.949580 7795.000000 0.046649
psp140353 1363.949580 7805.000000 0.046576
psp140354 1363.949580 7835.000000 0.046360
psp140355 1363.949580 7805.000000 0.046576
